index,cidade_india,data,tipo_cartao,tipo_despesa,genero_titular,valor
60,Delhi,2015-01-13,Platinum,contas,F,722587
61,Bengaluru,2014-03-14,Platinum,contas,F,411062
62,Delhi,2014-02-27,Platinum,contas,F,660910
63,Greater Mumbai,2013-10-29,Signature,contas,F,557370
64,Greater Mumbai,2014-06-22,Platinum,contas,F,549794
65,Delhi,2014-01-23,Platinum,contas,F,340133
66,Bengaluru,2013-11-10,Gold,contas,F,265417
67,Greater Mumbai,2013-12-13,Platinum,contas,F,358185
68,Greater Mumbai,2014-03-22,Gold,contas,F,991685
69,Greater Mumbai,2015-01-13,Gold,contas,F,533762
70,Greater Mumbai,2014-05-08,Gold,contas,F,829742
71,Delhi,2014-02-18,Silver,contas,F,441527
72,Delhi,2013-10-04,Signature,contas,F,550782
73,Greater Mumbai,2014-06-14,Platinum,contas,F,835872
74,Ahmedabad,2014-08-24,Silver,contas,F,540497
75,Greater Mumbai,2015-04-02,Platinum,contas,F,525977
76,Greater Mumbai,2014-06-27,Gold,contas,F,789393
77,Greater Mumbai,2015-02-06,Platinum,contas,F,689478
78,Bengaluru,2014-03-29,Silver,contas,F,499079
79,Ahmedabad,2014-04-22,Platinum,contas,F,665107
80,Greater Mumbai,2014-10-14,Platinum,contas,F,998077
81,Ahmedabad,2014-02-02,Silver,contas,F,934205
82,Bengaluru,2015-04-01,Platinum,contas,F,823426
83,Ahmedabad,2015-01-13,Signature,contas,F,282910
84,Bengaluru,2014-03-27,Gold,contas,F,418675
85,Ahmedabad,2015-02-17,Silver,contas,F,804949
86,Bengaluru,2015-02-10,Gold,contas,F,686601
87,Greater Mumbai,2014-02-26,Silver,contas,F,561220
88,Greater Mumbai,2015-05-07,Gold,contas,F,762534
89,Bengaluru,2014-01-05,Gold,contas,F,327947
90,Bengaluru,2014-04-07,Gold,contas,F,492986
91,Delhi,2015-02-20,Signature,contas,F,369237
92,Bengaluru,2015-01-19,Platinum,contas,F,983839
93,Ahmedabad,2014-11-14,Gold,contas,F,776716
94,Greater Mumbai,2014-07-21,Gold,contas,F,664632
95,Bengaluru,2015-02-03,Gold,contas,F,466727
96,Bengaluru,2013-11-01,Gold,contas,F,896384
97,Delhi,2013-12-07,Signature,contas,F,712001
98,Greater Mumbai,2014-08-05,Silver,contas,F,246865
99,Greater Mumbai,2015-01-08,Signature,contas,F,858729
100,Delhi,2015-04-11,Platinum,contas,F,581882
101,Greater Mumbai,2015-02-15,Signature,contas,F,646426
102,Bengaluru,2015-03-24,Silver,contas,F,687088
103,Bengaluru,2013-10-13,Signature,contas,F,973026
104,Greater Mumbai,2015-04-24,Silver,contas,F,944398
105,Ahmedabad,2014-11-09,Platinum,contas,F,414422
106,Bengaluru,2015-02-04,Signature,contas,F,408503
107,Bengaluru,2014-03-06,Signature,contas,F,984466
108,Greater Mumbai,2014-03-27,Gold,contas,F,919997
109,Greater Mumbai,2013-11-13,Signature,contas,F,535101
110,Greater Mumbai,2013-10-22,Signature,contas,F,978301
111,Greater Mumbai,2014-09-27,Gold,contas,F,880406
112,Ahmedabad,2014-11-14,Silver,contas,F,447241
113,Bengaluru,2013-10-21,Platinum,contas,F,382191
114,Bengaluru,2015-05-15,Silver,contas,F,775859
115,Bengaluru,2014-03-21,Platinum,contas,F,832637
116,Bengaluru,2015-04-03,Platinum,contas,F,458526
117,Ahmedabad,2015-04-06,Signature,contas,F,440995
118,Ahmedabad,2013-11-05,Platinum,contas,F,490128
119,Delhi,2013-10-07,Platinum,contas,F,897079
120,Delhi,2014-10-31,Gold,contas,F,431948
121,Bengaluru,2014-04-03,Silver,contas,F,228072
122,Delhi,2013-11-21,Gold,contas,F,757649
123,Delhi,2014-05-11,Signature,contas,F,919877
124,Greater Mumbai,2014-05-23,Gold,contas,F,605615
125,Bengaluru,2015-05-22,Platinum,contas,F,500852
126,Greater Mumbai,2015-02-15,Signature,contas,F,488136
127,Delhi,2014-06-16,Gold,contas,F,937828
128,Delhi,2014-01-27,Gold,contas,F,315873
129,Greater Mumbai,2015-05-20,Silver,contas,F,567623
130,Greater Mumbai,2013-10-29,Platinum,contas,F,555123
131,Bengaluru,2014-04-20,Gold,contas,F,498843
132,Greater Mumbai,2014-05-23,Silver,contas,F,752610
133,Greater Mumbai,2015-03-11,Platinum,contas,F,494540
134,Delhi,2013-10-27,Gold,contas,F,996754
135,Ahmedabad,2014-07-14,Signature,contas,F,245572
136,Delhi,2014-04-18,Gold,contas,F,974384
137,Ahmedabad,2014-03-25,Silver,contas,F,846635
138,Ahmedabad,2014-09-01,Silver,contas,F,635473
139,Delhi,2015-03-23,Gold,contas,F,224510
140,Delhi,2015-01-24,Silver,contas,F,478671
141,Greater Mumbai,2013-10-04,Gold,contas,F,990700
142,Delhi,2014-03-14,Gold,contas,F,228565
143,Bengaluru,2014-01-03,Silver,contas,F,297732
144,Greater Mumbai,2014-12-03,Signature,contas,F,559262
145,Bengaluru,2014-07-01,Signature,contas,F,809907
146,Ahmedabad,2014-08-21,Signature,contas,F,428316
147,Ahmedabad,2014-03-05,Signature,contas,F,275065
148,Bengaluru,2014-04-20,Silver,contas,F,845653
149,Ahmedabad,2013-11-20,Signature,contas,F,236296
150,Bengaluru,2014-09-25,Signature,contas,F,440572
151,Ahmedabad,2015-02-06,Gold,contas,F,478115
152,Bengaluru,2013-10-26,Gold,contas,F,897621
153,Greater Mumbai,2015-05-06,Signature,contas,F,554281
154,Delhi,2014-09-30,Silver,contas,F,245452
155,Delhi,2014-01-17,Platinum,contas,F,365045
156,Greater Mumbai,2015-01-11,Gold,contas,F,496047
157,Bengaluru,2015-02-11,Silver,contas,F,466814
158,Bengaluru,2014-11-10,Gold,contas,F,835177
159,Delhi,2015-01-12,Silver,contas,F,219698
160,Bengaluru,2014-10-18,Silver,contas,F,784541
161,Delhi,2013-10-25,Signature,contas,F,576994
162,Bengaluru,2015-05-15,Gold,contas,F,464663
163,Bengaluru,2014-05-03,Platinum,contas,F,380270
164,Ahmedabad,2014-10-02,Silver,contas,F,772082
165,Delhi,2015-04-09,Gold,contas,F,230853
166,Bengaluru,2013-10-06,Signature,contas,F,677654
167,Greater Mumbai,2014-02-05,Signature,contas,F,929247
168,Ahmedabad,2015-04-09,Platinum,contas,F,851374
169,Ahmedabad,2014-01-19,Platinum,contas,F,637600
170,Greater Mumbai,2013-11-09,Platinum,contas,F,681749
171,Delhi,2014-03-25,Silver,contas,F,847958
172,Greater Mumbai,2014-02-18,Gold,contas,F,877569
173,Ahmedabad,2013-10-14,Platinum,contas,F,450413
174,Bengaluru,2015-05-01,Signature,contas,F,219041
175,Bengaluru,2014-12-31,Gold,contas,F,866572
176,Greater Mumbai,2014-03-26,Signature,contas,F,570791
177,Ahmedabad,2014-04-28,Silver,contas,F,705464
178,Greater Mumbai,2014-04-06,Signature,contas,F,806821
179,Greater Mumbai,2014-03-27,Platinum,contas,F,515472
180,Ahmedabad,2014-09-23,Silver,contas,F,352207
181,Ahmedabad,2015-03-04,Gold,contas,F,342761
182,Bengaluru,2014-02-27,Signature,contas,F,249099
183,Ahmedabad,2014-08-27,Platinum,contas,F,995634
184,Bengaluru,2014-12-12,Signature,contas,F,435097
185,Ahmedabad,2014-06-16,Platinum,contas,F,797815
186,Delhi,2014-01-02,Gold,contas,F,326922
187,Bengaluru,2014-12-11,Gold,contas,F,396241
188,Delhi,2014-12-14,Gold,contas,F,486949
189,Greater Mumbai,2014-01-17,Gold,contas,F,333483
190,Ahmedabad,2013-10-05,Platinum,contas,F,612572
191,Bengaluru,2015-03-18,Silver,contas,F,327244
192,Ahmedabad,2014-02-04,Silver,contas,F,955468
193,Greater Mumbai,2015-02-25,Gold,contas,F,927864
194,Delhi,2014-03-28,Signature,contas,F,555220
195,Delhi,2014-12-28,Silver,contas,F,952640
196,Ahmedabad,2014-05-31,Silver,contas,F,695749
197,Greater Mumbai,2014-08-22,Platinum,contas,F,365724
198,Greater Mumbai,2015-03-03,Platinum,contas,F,738108
199,Ahmedabad,2015-01-17,Platinum,contas,F,650785
200,Delhi,2014-10-23,Signature,contas,F,611486
201,Bengaluru,2014-08-05,Platinum,contas,F,965721
202,Ahmedabad,2014-10-12,Gold,contas,F,413052
203,Ahmedabad,2014-01-22,Silver,contas,F,584822
204,Ahmedabad,2015-03-25,Gold,contas,F,980146
205,Ahmedabad,2014-10-10,Signature,contas,F,926072
206,Delhi,2014-04-16,Silver,contas,F,482394
207,Bengaluru,2014-02-21,Signature,contas,F,718346
208,Bengaluru,2014-04-24,Silver,contas,F,491598
209,Delhi,2014-09-07,Platinum,contas,F,848852
210,Bengaluru,2014-12-28,Gold,contas,F,396139
211,Ahmedabad,2014-10-13,Signature,contas,F,856974
212,Ahmedabad,2015-04-03,Signature,contas,F,855990
213,Delhi,2015-02-16,Signature,contas,F,924776
214,Greater Mumbai,2014-04-03,Signature,contas,F,204850
215,Delhi,2013-11-03,Platinum,contas,F,780669
216,Greater Mumbai,2014-04-17,Signature,contas,F,887442
217,Delhi,2014-01-22,Signature,contas,F,297820
218,Delhi,2015-03-14,Signature,contas,F,687879
219,Greater Mumbai,2013-10-13,Silver,contas,F,738456
220,Delhi,2014-08-24,Platinum,contas,F,378535
221,Greater Mumbai,2015-05-09,Silver,contas,F,334116
222,Delhi,2014-06-07,Silver,contas,F,772360
223,Ahmedabad,2014-11-26,Gold,contas,F,580796
224,Greater Mumbai,2014-10-21,Silver,contas,F,855465
225,Greater Mumbai,2014-06-15,Gold,contas,F,978989
226,Ahmedabad,2015-04-25,Gold,contas,F,451874
227,Ahmedabad,2014-09-07,Silver,contas,F,670750
228,Bengaluru,2015-05-19,Signature,contas,F,977951
229,Delhi,2014-02-23,Platinum,contas,F,403466
230,Delhi,2013-10-28,Signature,contas,F,861177
231,Ahmedabad,2014-12-17,Gold,contas,F,528612
232,Ahmedabad,2014-12-04,Signature,contas,F,339670
233,Delhi,2013-11-18,Signature,contas,F,963751
234,Ahmedabad,2014-11-30,Gold,contas,F,761930
235,Ahmedabad,2014-08-21,Signature,contas,F,852806
236,Delhi,2014-05-25,Signature,contas,F,207755
237,Greater Mumbai,2015-04-19,Gold,contas,F,489540
238,Ahmedabad,2014-03-25,Silver,contas,F,274395
239,Bengaluru,2014-02-11,Platinum,contas,F,566945
240,Ahmedabad,2014-12-09,Gold,contas,F,705690
241,Bengaluru,2014-03-25,Gold,contas,F,894888
242,Greater Mumbai,2014-01-02,Platinum,contas,F,811899
243,Greater Mumbai,2014-12-25,Silver,contas,F,677645
244,Greater Mumbai,2014-10-16,Platinum,contas,F,326162
245,Delhi,2015-04-19,Platinum,contas,F,316946
246,Delhi,2014-01-20,Platinum,contas,F,622373
247,Bengaluru,2014-05-10,Signature,contas,F,640653
248,Ahmedabad,2015-01-09,Signature,contas,F,745493
249,Delhi,2013-10-31,Gold,contas,F,868021
250,Delhi,2014-11-28,Platinum,contas,F,284923
251,Bengaluru,2014-07-21,Platinum,contas,F,814422
252,Bengaluru,2015-04-22,Gold,contas,F,599741
253,Ahmedabad,2014-06-10,Platinum,contas,F,804560
254,Ahmedabad,2015-04-17,Gold,contas,F,996291
255,Ahmedabad,2013-11-09,Platinum,contas,F,477553
256,Delhi,2015-01-02,Gold,contas,F,216028
257,Greater Mumbai,2015-03-10,Signature,contas,F,275427
258,Delhi,2013-12-22,Silver,contas,F,722048
259,Delhi,2015-02-14,Silver,contas,F,292365
260,Ahmedabad,2015-01-30,Silver,contas,F,400393
261,Greater Mumbai,2014-04-01,Platinum,contas,F,219720
262,Delhi,2015-02-15,Signature,contas,F,981404
263,Bengaluru,2014-11-24,Signature,contas,F,639670
264,Bengaluru,2014-08-07,Gold,contas,F,814333
265,Ahmedabad,2013-10-17,Gold,contas,F,569582
266,Ahmedabad,2014-05-25,Gold,contas,F,954111
267,Ahmedabad,2014-05-16,Gold,contas,F,635267
268,Delhi,2013-10-11,Gold,contas,F,393651
269,Ahmedabad,2014-06-02,Platinum,contas,F,572306
270,Ahmedabad,2014-08-06,Silver,contas,F,407647
271,Greater Mumbai,2015-01-26,Gold,contas,F,734396
272,Delhi,2015-03-02,Platinum,contas,F,224414
273,Ahmedabad,2014-09-10,Signature,contas,F,203194
274,Greater Mumbai,2015-01-22,Gold,contas,F,250410
275,Delhi,2015-04-04,Silver,contas,F,830697
276,Greater Mumbai,2014-05-16,Platinum,contas,F,790800
277,Greater Mumbai,2014-02-22,Silver,contas,F,638570
278,Greater Mumbai,2014-08-13,Silver,contas,F,380409
279,Greater Mumbai,2014-04-01,Gold,contas,F,601631
280,Ahmedabad,2014-01-08,Gold,contas,F,690534
281,Ahmedabad,2015-03-05,Silver,contas,F,423661
282,Greater Mumbai,2014-12-08,Silver,contas,F,936294
283,Bengaluru,2014-11-29,Platinum,contas,F,537050
284,Delhi,2015-03-08,Silver,contas,F,899343
285,Greater Mumbai,2013-11-25,Platinum,contas,F,834691
286,Ahmedabad,2015-04-13,Silver,contas,F,240216
287,Greater Mumbai,2014-04-15,Signature,contas,F,424370
288,Delhi,2015-02-13,Silver,contas,F,593991
289,Greater Mumbai,2014-10-02,Signature,contas,F,768467
290,Delhi,2015-02-07,Gold,contas,F,781959
291,Bengaluru,2014-12-27,Platinum,contas,F,553907
292,Bengaluru,2014-08-04,Platinum,contas,F,308622
293,Greater Mumbai,2015-05-05,Signature,contas,F,912334
294,Delhi,2015-01-28,Silver,contas,F,586474
295,Delhi,2014-04-06,Gold,contas,F,521237
296,Delhi,2013-10-30,Signature,contas,F,446266
297,Greater Mumbai,2014-09-30,Platinum,contas,F,511168
298,Bengaluru,2013-12-28,Signature,contas,F,608438
299,Delhi,2014-10-18,Gold,contas,F,973519
300,Delhi,2014-11-28,Platinum,contas,F,688577
301,Bengaluru,2014-05-12,Silver,contas,F,686619
302,Greater Mumbai,2014-11-06,Signature,contas,F,255982
303,Greater Mumbai,2014-03-02,Signature,contas,F,464656
304,Delhi,2015-04-19,Signature,contas,F,212319
305,Greater Mumbai,2015-04-18,Platinum,contas,F,307563
306,Delhi,2015-04-15,Silver,contas,F,407564
307,Bengaluru,2014-10-12,Signature,contas,F,331349
308,Delhi,2015-04-14,Silver,contas,F,391325
309,Ahmedabad,2014-10-07,Silver,contas,F,530244
310,Greater Mumbai,2014-04-16,Signature,contas,F,668736
311,Bengaluru,2014-12-03,Gold,contas,F,517448
312,Ahmedabad,2014-08-03,Platinum,contas,F,788531
313,Ahmedabad,2014-03-17,Gold,contas,F,474729
314,Bengaluru,2015-01-16,Platinum,contas,F,590841
315,Greater Mumbai,2014-01-05,Platinum,contas,F,608427
316,Delhi,2015-05-02,Silver,contas,F,719835
317,Delhi,2013-12-30,Signature,contas,F,375139
318,Bengaluru,2014-05-19,Platinum,contas,F,229589
319,Bengaluru,2014-07-05,Signature,contas,F,376453
320,Delhi,2013-10-10,Signature,contas,F,360009
321,Ahmedabad,2014-08-03,Signature,contas,F,770346
322,Greater Mumbai,2015-05-23,Signature,contas,F,489043
323,Bengaluru,2014-11-11,Platinum,contas,F,503037
324,Greater Mumbai,2014-01-11,Platinum,contas,F,731261
325,Ahmedabad,2014-02-14,Signature,contas,F,262755
326,Greater Mumbai,2014-07-16,Gold,contas,F,825475
327,Greater Mumbai,2014-02-24,Platinum,contas,F,922630
328,Delhi,2014-09-25,Gold,contas,F,752172
329,Ahmedabad,2014-06-11,Gold,contas,F,418009
330,Delhi,2014-06-07,Signature,contas,F,994537
331,Greater Mumbai,2014-08-02,Silver,contas,F,922206
332,Greater Mumbai,2014-05-21,Signature,contas,F,389097
333,Bengaluru,2015-04-04,Signature,contas,F,880778
334,Greater Mumbai,2015-03-03,Gold,contas,F,327971
335,Bengaluru,2014-03-02,Signature,contas,F,689201
336,Bengaluru,2015-05-17,Silver,contas,F,792440
337,Bengaluru,2015-03-17,Signature,contas,F,602222
338,Ahmedabad,2014-09-03,Platinum,contas,F,502399
339,Ahmedabad,2014-03-17,Silver,contas,F,272804
340,Bengaluru,2014-06-06,Platinum,contas,F,613280
341,Delhi,2014-10-17,Signature,contas,F,876491
342,Bengaluru,2014-02-25,Silver,contas,F,820217
343,Greater Mumbai,2014-09-06,Signature,contas,F,994184
344,Ahmedabad,2013-12-07,Platinum,contas,F,515263
345,Ahmedabad,2014-08-28,Signature,contas,F,338527
346,Ahmedabad,2014-06-16,Silver,contas,F,934683
347,Ahmedabad,2014-07-07,Signature,contas,F,454570
348,Greater Mumbai,2015-01-28,Gold,contas,F,654519
349,Ahmedabad,2014-06-12,Gold,contas,F,958047
350,Bengaluru,2013-11-03,Silver,contas,F,465281
351,Ahmedabad,2013-12-31,Signature,contas,F,653161
352,Ahmedabad,2014-04-14,Gold,contas,F,307350
353,Greater Mumbai,2014-08-27,Silver,contas,F,41002
354,Bengaluru,2014-01-03,Silver,contas,F,34743
355,Bengaluru,2014-09-26,Signature,contas,F,195589
356,Bengaluru,2014-03-10,Signature,contas,F,204735
357,Ahmedabad,2014-05-14,Signature,contas,F,118112
358,Greater Mumbai,2013-12-12,Platinum,contas,F,61572
359,Delhi,2015-02-25,Gold,contas,F,274938
360,Greater Mumbai,2014-02-21,Signature,contas,F,43854
361,Delhi,2014-04-27,Gold,contas,F,8798
362,Greater Mumbai,2015-05-08,Gold,contas,F,192241
363,Bengaluru,2014-04-10,Silver,contas,F,128164
364,Delhi,2014-04-28,Signature,contas,F,249061
365,Greater Mumbai,2014-01-29,Gold,contas,F,275283
366,Greater Mumbai,2014-01-03,Platinum,contas,F,172194
367,Ahmedabad,2015-05-13,Gold,contas,F,13162
368,Bengaluru,2015-02-05,Platinum,contas,F,3427
369,Bengaluru,2015-01-07,Gold,contas,F,171374
370,Delhi,2015-02-19,Signature,contas,F,286251
371,Ahmedabad,2014-10-19,Platinum,contas,F,123417
372,Delhi,2013-12-03,Silver,contas,F,81088
373,Ahmedabad,2014-10-26,Signature,contas,F,64113
374,Bengaluru,2014-03-27,Platinum,contas,F,54374
375,Ahmedabad,2015-03-18,Signature,contas,F,175515
376,Delhi,2013-11-25,Gold,contas,F,78773
377,Bengaluru,2014-06-25,Signature,contas,F,143515
378,Delhi,2014-11-22,Silver,contas,F,263613
379,Greater Mumbai,2015-04-22,Platinum,contas,F,265434
380,Delhi,2014-06-03,Signature,contas,F,87839
381,Delhi,2014-06-16,Signature,contas,F,60905
382,Delhi,2015-04-09,Platinum,contas,F,199726
383,Delhi,2015-01-20,Silver,contas,F,267896
384,Ahmedabad,2013-12-31,Gold,contas,F,198937
385,Greater Mumbai,2014-10-02,Gold,contas,F,90745
386,Greater Mumbai,2014-07-24,Silver,contas,F,86676
387,Greater Mumbai,2015-05-08,Platinum,contas,F,163574
388,Greater Mumbai,2015-04-27,Signature,contas,F,2138
389,Bengaluru,2014-06-11,Silver,contas,F,253749
390,Delhi,2014-06-06,Platinum,contas,F,60187
391,Bengaluru,2015-03-03,Platinum,contas,F,15566
392,Greater Mumbai,2014-07-11,Signature,contas,F,242144
393,Delhi,2014-03-17,Platinum,contas,F,114049
394,Bengaluru,2014-03-17,Gold,contas,F,100992
395,Delhi,2014-03-03,Silver,contas,F,173017
396,Greater Mumbai,2014-06-07,Gold,contas,F,279567
397,Delhi,2013-12-28,Signature,contas,F,25016
398,Delhi,2013-11-11,Silver,contas,F,157982
399,Bengaluru,2014-05-17,Signature,contas,F,240387
400,Delhi,2014-08-31,Platinum,contas,F,134030
401,Bengaluru,2015-01-26,Gold,contas,F,108651
402,Delhi,2014-01-17,Gold,contas,F,138617
403,Bengaluru,2014-01-27,Signature,contas,F,98963
404,Delhi,2013-12-24,Silver,contas,F,25486
405,Delhi,2015-03-03,Gold,contas,F,231140
406,Ahmedabad,2013-10-22,Gold,contas,F,20032
407,Greater Mumbai,2015-01-14,Gold,contas,F,293938
408,Delhi,2014-01-11,Silver,contas,F,88175
409,Ahmedabad,2015-02-07,Platinum,contas,F,105297
410,Delhi,2013-10-08,Platinum,contas,F,129169
411,Greater Mumbai,2014-08-14,Signature,contas,F,172386
412,Greater Mumbai,2015-05-09,Platinum,contas,F,46369
413,Greater Mumbai,2014-04-02,Silver,contas,F,158636
414,Delhi,2014-11-26,Signature,contas,F,87219
415,Delhi,2014-11-16,Gold,contas,F,183445
416,Bengaluru,2014-06-27,Silver,contas,F,147977
417,Ahmedabad,2014-11-19,Platinum,contas,F,243279
418,Bengaluru,2014-04-04,Platinum,contas,F,243950
419,Delhi,2015-04-14,Silver,contas,F,32548
420,Delhi,2013-12-09,Platinum,contas,F,118126
421,Greater Mumbai,2013-11-30,Platinum,contas,F,13325
422,Greater Mumbai,2014-02-16,Gold,contas,F,295055
423,Greater Mumbai,2015-01-12,Platinum,contas,F,64764
424,Bengaluru,2014-02-03,Platinum,contas,F,174520
425,Delhi,2013-11-05,Signature,contas,F,72763
426,Greater Mumbai,2014-09-27,Signature,contas,F,269809
427,Delhi,2014-06-29,Silver,contas,F,81145
428,Ahmedabad,2014-07-13,Silver,contas,F,25948
429,Greater Mumbai,2015-01-23,Silver,contas,F,120188
430,Greater Mumbai,2014-12-05,Signature,contas,F,8259
431,Delhi,2014-04-15,Signature,contas,F,285830
432,Bengaluru,2015-04-27,Gold,contas,F,67039
433,Ahmedabad,2014-07-25,Gold,contas,F,14370
434,Ahmedabad,2014-10-10,Platinum,contas,F,54304
435,Greater Mumbai,2013-10-18,Gold,contas,F,188856
436,Ahmedabad,2014-01-18,Gold,contas,F,44635
437,Greater Mumbai,2013-11-22,Platinum,contas,F,227273
438,Delhi,2014-03-26,Gold,contas,F,234200
439,Delhi,2014-12-12,Signature,contas,F,79053
440,Greater Mumbai,2015-03-01,Silver,contas,F,49711
441,Greater Mumbai,2014-10-29,Signature,contas,F,203463
442,Bengaluru,2014-07-29,Signature,contas,F,196985
443,Greater Mumbai,2015-04-18,Gold,contas,F,246457
444,Delhi,2013-11-05,Platinum,contas,F,88344
445,Bengaluru,2014-08-27,Signature,contas,F,167457
446,Bengaluru,2014-03-04,Gold,contas,F,254598
447,Delhi,2014-01-27,Platinum,contas,F,102486
448,Greater Mumbai,2014-01-18,Silver,contas,F,159428
449,Bengaluru,2014-01-28,Platinum,contas,F,296987
450,Ahmedabad,2015-02-06,Signature,contas,F,89418
451,Delhi,2015-02-26,Signature,contas,F,77247
452,Bengaluru,2014-01-24,Gold,contas,F,66542
453,Greater Mumbai,2014-11-27,Silver,contas,F,194526
454,Bengaluru,2014-07-16,Signature,contas,F,178119
455,Bengaluru,2014-05-16,Gold,contas,F,258653
456,Delhi,2014-11-02,Silver,contas,F,97425
457,Delhi,2014-05-23,Gold,contas,F,223185
458,Greater Mumbai,2015-01-28,Gold,contas,F,224750
459,Ahmedabad,2014-01-17,Signature,contas,F,103363
460,Greater Mumbai,2014-11-27,Platinum,contas,F,49090
461,Bengaluru,2014-11-20,Platinum,contas,F,140584
462,Delhi,2014-06-26,Platinum,contas,F,61272
463,Delhi,2014-01-02,Silver,contas,F,25200
464,Greater Mumbai,2013-12-09,Signature,contas,F,249893
465,Bengaluru,2014-05-25,Gold,contas,F,91325
466,Greater Mumbai,2014-04-14,Silver,contas,F,81641
467,Greater Mumbai,2015-04-14,Platinum,contas,F,267700
468,Greater Mumbai,2014-11-20,Silver,alimentacao,F,193429
469,Ahmedabad,2014-04-22,Gold,alimentacao,F,97674
470,Bengaluru,2014-03-08,Silver,alimentacao,F,222579
471,Bengaluru,2015-03-19,Platinum,alimentacao,F,194846
472,Greater Mumbai,2015-02-22,Signature,alimentacao,F,62690
473,Greater Mumbai,2015-02-08,Signature,alimentacao,F,225614
474,Ahmedabad,2013-10-20,Signature,alimentacao,F,13879
475,Ahmedabad,2015-02-04,Gold,alimentacao,F,279579
476,Bengaluru,2014-09-10,Gold,alimentacao,F,253183
477,Bengaluru,2014-05-10,Signature,alimentacao,F,183197
478,Bengaluru,2014-08-27,Gold,alimentacao,F,260046
479,Bengaluru,2014-07-21,Gold,alimentacao,F,95981
480,Bengaluru,2014-03-02,Gold,alimentacao,F,157399
481,Delhi,2014-02-20,Signature,alimentacao,F,140041
482,Ahmedabad,2014-01-05,Platinum,alimentacao,F,288339
483,Ahmedabad,2014-01-02,Platinum,alimentacao,F,49494
484,Bengaluru,2015-04-16,Platinum,alimentacao,F,43954
485,Bengaluru,2013-11-30,Platinum,alimentacao,F,35543
